lyrics_filename,mood,mood_cats,lyrics
Doves___Almost_Forgot_Myself,sad,1,"""Almost Forgot Myself  [Verse 1]\nSo close\nYou're wasted again\nI know\nSomehow\nI lost myself\nAgain\n\n[Chorus]\nMaking me high again\nI almost forgot myself again\nIt hits me so hard\nIt kills me again\nToday\n[Verse 2]\nSo close\nYet you're wasted again\nI know\nSomehow\n\nWe'll find ourselves\nI don't know, I don't know\n\n[Chorus]\nThen we'll be high again\nI almost forgot myself there\nIt hits you so hard\nAnd kills again\n\n[Verse 3]\nI almost forgot myself again\nI almost forgot myself there\nIt's hitting me hard\nIt moves me again\nAgain"
Bryan_Ferry___Positively_4th_Street,happy,0,"""Positively 4th Street LyricsYou got a lotta nerve\nTo say you are my friend\nWhen I was down\nYou just stood there grinning\n\nYou got a lotta nerve\nTo say you got a helping hand to lend\nYou just want to be on\nThe side that's winning\n\nYou say I let you down\nYou know it's not like that\nIf you're so hurt\nWhy then don't you show it\nYou say you lost your faith\nBut that's not where it's at\nYou had no faith to lose\nAnd you know it\n\nI know the reason\nThat you talk behind my back\nI used to be among the crowd\nYou're in with\n\nDo you take me for such a fool\nTo think I'd make contact\nWith the one who tries to hide\nWhat he don't know to begin with\n\nI wish that for just one time\nYou could stand inside my shoes\nAnd just for that one moment\nI could be you\n\nYes, I wish that for just one time\nYou could stand inside my shoes\nYou'd know what a drag it is\nTo see youYou might also likeEmbed"", 'default'"
Aimee_Mann___Driving_Sideways,sad,1,"""Driving Sideways Lyrics[Verse 1]\nAt least you know\nYou were taken by a pro\nI know just how you feel\nShe talked a perfect game\nDeflecting all the blame\nYou took the jack\nAnd changed the flat\nAnd got behind the wheel\n\n[Chorus]\nNow you're\nDriving sideways\nTaken in by the scenery\nAs you're propelled along\nAnd your companion\nWill not help you to navigate\nFor fear she may be wrong\nFor fear she may be wrong\n[Verse 2]\nAnd you will say\nThat you're making headway\nAnd put it in overdrive\nBut you're mistaking speed\nFor getting what you need\nAnd never even noticing\nYou never do arrive\n\n[Chorus]\n'Cause you're\nDriving sideways\nIf you roll down the window, you'll see\nYou're where you don't belong\nAnd your companion\nWill not help you to navigate\nFor fear she may be wrong\nFor fear she may be wrong\n\n[Bridge]\nAnd you're powered by\nThe hopeful lie\nThat it's just around the bend\nAnd when this, by default\nComes screeching to a halt\nLet's hope that you\nKnow what to do\nTo start it up again\nSee Aimee Mann LiveGet tickets as low as $82You might also like[Chorus]\nDriving sideways\nHitting scan on the radio\nSo she can sing along\nAnd she'll sit\nThinking you're gonna handle it\nUntil she's proven wrong\nUntil she's proven wrong\nUntil you prove her wrong\nDriving sideways\n\n[Outro guitar solo]Embed"", 'default'"
Deathstars___Blitzkrieg,sad,1,"""Blitzkrieg LyricsIn your dreams, hearts shake\nNerves scream, minds break\nHeavens turn, grounds crack\nPrayers burn, burn black\n\nAnd it's all there inside of you\nIt's deadly, dark, cold\nCan you feel the explosion?\nNow lean back and enjoy the show!\n\nBlitzkrieg, blitzkrieg\nBlitzkrieg, boom\nBlitzkrieg, blitzkrieg\nBlitzkrieg, boom\nHope fails, death shines\nLong nails, Hell's vines\nTerrors speak, walls fall\nAddiction seek, seek it all\n\nAnd it's all there inside of you\nIt's deadly, dark, cold\nCan you feel the explosion?\nNow lean back and enjoy the show!\n\nBlitzkrieg, blitzkrieg\nFuck the blitzkrieg, boom\nBlitzkrieg, blitzkrieg\nFuck the blitzkrieg, boom\n\nThis is the end\nStill your need is driven on, driven on\nAs we trigger one last bomb\n\nWounds bleed, tears ride\nDemons feed, angel hide\nFathers sign, mothers weep\nChildren cry, crying deep\n\nAnd it's all inside of you\nIt's deadly, dark, cold\nCan you feel the explosion?\nNow lean back and enjoy the show!\nYou might also likeBlitzkrieg, blitzkrieg\nFuck the blitzkrieg, boom\nBlitzkrieg, blitzkrieg\nFuck the blitzkrieg, boom\n\nFuck the world with a gun and a broken blade!\n\nThis is the end\nStill your need is driven on, driven on\nAs we trigger one last bomb\n\nThis is the end\nStill your need is driven on, driven on\nAs we trigger one last bomb\n\nThis is the end\nStill your need is driven on, driven on\nAs we trigger one last bomb1Embed"", 'default'"
Bread___Make_It_With_You,sad,1,"""Make It with You Lyrics[Verse 1]\nHey, have you ever tried\nReally reaching out for the other side?\nI may be climbing on rainbows\nBut baby, here goes\n\n[Pre-Chorus 1]\nDreams, they're for those who sleep\nLife is for us to keep\nAnd if you're wondering what this all is leading to\n[Chorus]\nI wanna make it with you\nI really think that we could make it, girl\n\n[Verse 2]\nNo, you don't know me well\nAnd every little thing, only time will tell\nIf you believe the things that I do\nAnd we'll see it through\n\n[Pre-Chorus 2]\nLife can be short or long\nLove can be right or wrong\nAnd if I chose the one I'd like to help me through\n\n[Chorus]\nI'd like to make it with you\nI really think that we could make it, girl\n\n[Instrumental Break]\n\n[Pre-Chorus 1]\nBaby, you know that\nDreams, they're for those who sleep\nLife, it's for us to keep\nAnd if I chose the one I'd like to help me through\nYou might also like[Chorus]\nI'd like to make it with you\nI really think that we could make it, girlEmbed"", 'default'"
Chet_Baker___My_funny_valentine,sad,1,"""My Funny Valentine Lyrics[Verse]\nMy funny valentine\nSweet, comic valentine\nYou make me smile with my heart\nYour looks are laughable\nUnphotographable\nYet you're my favorite work of art\nIs your figure less than Greek?\nIs your mouth a little weak?\nWhen you open it to speak\nAre you smiling?\nBut don't change your hair for me\nNot if you care for me\nStay, little valentine, stay\nEach day is Valentine's DayYou might also like4Embed"", 'default'"
Indigo_Girls___Ghost,happy,0,"""Ghost Lyrics[Verse 1]\nThere's a letter on the desktop\nThat I dug out of a drawer\nThe last truce we ever came to\nFrom our adolescent war\nAnd I start to feel the fever\nFrom the warm air through the screen\nYou come regular like seasons\nShadowing my dreams\n\n[Verse 2]\nAnd the Mississippi's mighty\nBut it starts in Minnesota\nAt a place that you could walk across\nWith five steps down\nAnd I guess that's how you started\nLike a pinprick to my heart\nBut at this point you rush right through me\nAnd I start to drown\n[Chorus]\nAnd there's not enough room in this world for my pain\nSignals cross and love gets lost and time passed makes it plain\nOf all my demon spirits I need you the most\nI'm in love with your ghost\nI'm in love with your ghost\n\n[Verse 3]\nDark and dangerous like a secret Don't tell a soul\nThat gets whispered in a hush\nWhen I wake the things I dreamt about you Don't tell a soul\nLast night make me blush\nThen you kissed me like a lover\nThen you sting me like a viper\nI go follow to the river\nPlay your memory like the piper\n\n[Chorus]\nAnd I feel it like a sickness how this love is killing me\nBut I'd walk into the fingers of your fire willingly\nAnd dance the edge of sanity I've never been this close\nIn love with your ghost\n\n[Post-Chorus]\nOoh\nOoh\nSee Indigo Girls LiveGet tickets as low as $69You might also like[Bridge]\nUnknowing captor\nYou'll never know how much you\nPierce my spirit\nBut I can't touch you\nCan you hear it, a cry to be free?\nOr I'm forever under lock and key\nAs you pass through me\n\n[Verse 4]\nNow I see your face before me\nThat would launch a thousand ships\nTo bring your heart back to my island\nAs the sand beneath me slips\nAs I burn up in your presence\nAnd I know now how it feels\nTo be weakened like Achilles\nWith you always at my heels\n\n[Chorus]\nAnd my bitter pill to swallow is the silence that I keep\nIt poisons me, I can't swim free, the river is too deep\nThough I'm baptized by your touch I am no worst at most\nIn love with your ghost\nIn love with your ghost You are shadowing my dreams\n[Post-Chorus]\nIn love with your ghost Ooh\nIn love with your ghost Ooh2Embed"", 'default'"
Fates_Warning___Nothing_Left_to_Say,sad,1,"""Nothing Left to Say LyricsI remember the endless longing\nThat called inside of me\nFrom fountains of expression\nTrying to break free\n\nNothing left to say\nWhen the walls give way\n\nStill I can faintly recall\nThe subtle purity\nOf youthful inspiration\nAnd insecurity\nNothing left to say\nWhen the child finds his way\n\nThe pride and the drive that started the dream\nTurned in time to an endless obsession\nCaught in a vicious circle of compulsion\nPossessed by the goal and the possession\n\nDesires bind the truth to secrecy\nBut behind the aspirations I see\nA life devoted to blind ambition\nAnd a mortal man searching for eternity\n\nBehind the desires\nAnd the wall that gave way\nThere's a forgotten cause\nConsumed by the day\n\nBehind the ambitions\nOf a child who found his way\nThere's a cold realization\nThat our deeds die with the day\nAnd behind the disguise\nOf a man with a cause\nThere's a child screaming\nWith nothing left to say\nYou might also likeParalyzed by inhibitions\nAnd indecisions\nWhat was once a release\nIs now a prisonEmbed"", 'default'"
Kathy_Mattea___Theres_A_New_Kid_In_Town,happy,0,"""There’s a New Kid in Town LyricsWe're looking for the King, the new Messiah\nWe're following the star, shining brighter\nOld man, won't you help us if you can\nHe shook his head but he pointed his hand\n\nThere's a new kid in town\nAnd He's lying in a manger down the road\nThere's a new kid in town\nBut He's just another baby I suppose\nHeaven knows\nThere's a new kid in town\nHere in Bethlehem\nI see you've traveled far, bearing treasures\nYou say these gifts are for the new King's pleasures\nI've heard that a King might come\nBut up 'til now there hasn't been one\n\nBut there's a new kid in town\nAnd He's lying in a manger down the road\nThere's a new kid in town\nBut He's just another baby I suppose\nHeaven knows\nThere's a new kid in town\nHere in Bethlehem\n\nThere's a new kid in town\nAnd He's lying in a manger down the road\nThere's a new kid in town\nBut He's just another baby I suppose\nHeaven knows\nThere's a new kid in town\nHere in BethlehemYou might also likeEmbed"", 'default'"
HIM___In_Joy_And_Sorrow,calm,2,"""In Joy and Sorrow Lyrics[Verse 1]\nOh girl\nWe are the same\nWe are young and lost and so afraid\nThere's no cure for the pain\nNo shelter from the rain\nAll our prayers seem to fail\n\n[Hook]\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\n[Verse 2]\nOh girl\nWe are the same\nWe are strong and blessed and so brave\nWith souls to be saved\nAnd faith regained\nAll our tears wiped away\n\n[Hook]\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\nYou might also like[Repeat and fade]\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart\nIn joy and sorrow\nMy home's in your arms\nIn a world so hollow\nIt's breakin' my heart1Embed"", 'default'"
Dexys_Midnight_Runners___Liars_A_To_E,anger,3,"'Liars A to E Lyrics[Verse 1]\nNobody tells you, you end up knowin\' Knowin\'\nBad habits, you should sleep alone\nOpen to suggestions, is that the way you feel?\nIs that the way, the way you feel?\n\'Cause you\'re the voice of experience, every word you choose Every word you choose\nSweet stolen info you must never lose\nYou\'re so secure in your habitat familiar\nYou feel it, you feel so secure\n\n[Chorus]\nBut you won\'t want from me\nYou never want, no, nothin\', never, yeah\nThere\'s nothin\' else to see\nAnd you should know somethin\'\nTry smokin\' your own and don\'t look at me\nI\'m lookin\', I\'m lookin\', singin\', singin\' it, singin\' it\n[Verse 2]\nNo need to explain it, just order dresses\nBad habits You keep you shouldn\'t keep\nDon\'t sleep there\nQuick nip next door to the, the vendor of charisma\nNo need to explain it, nip next door to the vendor of charisma\nBecause the, the time, the place, and the, the mood is right\nAnd good old Kevin\'ll be all right Kevin\'s gonna be alright\nOoh Here comes ""His Soul"" get your pen and notebooks ready\nOoh, here comes ""His""\nOoh, here comes ""His"", here comes ""His Soul""\nGet your pen and notebooks ready\n\n[Chorus]\nBut you won\'t look like me\nYou never want, no, nothin\', never, yeah\nYou\'ll never think like me\nAnd you should know somethin\'\nTry smokin\' your own and don\'t follow me\nI\'ll follow, I\'m singin\', singin\', singin\' it, singin\' it\n\n[Interlude]\nAh, there\'s no need to explain it, just\nJust nip next door to the vendor of charisma\n\n[Bridge]\nGot a voice of experience, every word you choose Every word you choose\nSweet stolen info you must never lose And you\'re gonna lose\nSo secure in your habitat familiar\nYou might also like[Chorus]\nYou won\'t want from me\nYou never want, no, nothin\', never, yeah\nThere\'s nothin\' else to see\nAnd you should know somethin\'\nTry smokin\' your own and don\'t look at me\nI\'m lookin\', I\'m lookin\', singin\', singin\' it, singin\' it\n\n[Outro]\nNo need to explain it, just order dresses Ooh\nBad habits You keep, you should sleep alone\nOpen to suggestions, is that the way you feel?\nIs that the way you feel?Embed', 'default'"
Bedouin_Soundclash___Nothing_To_Say,happy,0,"'Nothing To Say  The rocky red ocean ohhh\nThe news of arrival ohhh\nDown in the marketplace\nI came to hear this man say ohhhh, ohhhh, ohhhh\nHe had, nothing to sayX8\n\nBorn in the blue marketohhh\nWhen lightning collidedohhhh\nDown in the marketplace\nI came to hear this man say ohhhh, ohhhhh, ohhhh\nHe had nothing to say X8\nMy name is Bilbokaohhh\nMy name is Elowenohhh\nDown in the market place\nI came to hear this man say ohhh, ohhh, ohhh, ohhh\nHe had, nothing to say,X8You might also likeEmbed', 'default'"
